2025-03-24 23:06:53.703 [info] Starting Python Locator /home/gabrieu/.vscode/extensions/ms-python.python-2025.2.0-linux-x64/python-env-tools/bin/pet server
2025-03-24 23:06:54.013 [info] Discovered env: /home/gabrieu/Workstation/culinarIA/.venv/bin/python
2025-03-24 23:06:54.015 [info] Discovered env: /bin/python
2025-03-24 23:06:54.015 [info] Discovered env: /usr/bin/python
2025-03-24 23:06:54.015 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.2.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2025-03-24 23:06:54.015 [info] Discovered env: /sbin/python
2025-03-24 23:06:54.016 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.2.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2025-03-24 23:06:54.016 [info] Discovered env: /usr/sbin/python
2025-03-24 23:06:54.016 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.2.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-03-24 23:06:54.016 [info] Discovered env: /sbin/python3
2025-03-24 23:06:54.016 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.2.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-03-24 23:06:54.016 [info] Discovered env: /usr/sbin/python3
2025-03-24 23:06:54.016 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.2.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-03-24 23:06:54.016 [info] Discovered env: /sbin/python3.13
2025-03-24 23:06:54.017 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.2.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-03-24 23:06:54.017 [info] Discovered env: /usr/sbin/python3.13
2025-03-24 23:06:54.018 [info] Resolved Python Environment /home/gabrieu/Workstation/culinarIA/.venv/bin/python
2025-03-24 23:06:54.436 [info] Locator Conda took 101.352621ms
2025-03-24 23:06:54.437 [info] Locator Homebrew took 279.786µs
2025-03-24 23:06:54.439 [info] Locator LinuxGlobal took 93.513514ms
2025-03-24 23:06:54.440 [info] Locator PipEnv took 30.859µs
2025-03-24 23:06:54.441 [info] Locator Pixi took 132.213µs
2025-03-24 23:06:54.441 [info] Locator Poetry took 819.67µs
2025-03-24 23:06:54.441 [info] Locator PyEnv took 501.19µs
2025-03-24 23:06:54.450 [info] Locator Venv took 67.82µs
2025-03-24 23:06:54.451 [info] Locator VirtualEnv took 126.602µs
2025-03-24 23:06:54.460 [info] Locator VirtualEnvWrapper took 390.889µs
2025-03-24 23:06:54.461 [info] Locator GlobalVirtualEnvs took 375.649µs
2025-03-24 23:06:54.470 [info] Locator Locators took 101.746043ms
2025-03-24 23:06:54.470 [info] Locator Path took 235.464543ms
2025-03-24 23:06:54.470 [info] Locator Workspaces took 25.273314ms
2025-03-24 23:06:54.470 [info] Refresh completed in 235ms
